Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
cybersecurity analyst,entertainment,small,dubai,medium,high,ux/ui design,111392.16524315962,yes,growth
marketing specialist,technology,large,singapore,medium,high,marketing,93792.56246610906,no,decline
ai researcher,technology,large,singapore,medium,high,ux/ui design,107170.26306894996,yes,growth
sales manager,retail,small,berlin,low,high,project management,93027.95375786416,no,growth
cybersecurity analyst,entertainment,small,tokyo,low,low,javascript,87752.92217059238,yes,decline
ux designer,education,large,san francisco,medium,medium,cybersecurity,102825.0078665678,no,growth
hr manager,finance,medium,singapore,low,high,sales,102065.72067347592,yes,growth
cybersecurity analyst,technology,small,dubai,medium,low,machine learning,86607.3176180969,yes,decline
ai researcher,retail,large,london,high,low,javascript,75015.86084571481,no,stable
sales manager,entertainment,medium,singapore,high,low,cybersecurity,96834.57829480869,yes,decline
marketing specialist,finance,small,london,high,high,python,91566.97337925188,yes,growth
ai researcher,entertainment,medium,singapore,medium,high,ux/ui design,78902.56574458485,no,growth
ai researcher,transportation,large,san francisco,high,medium,python,73151.99034926406,yes,growth
hr manager,retail,small,paris,low,high,cybersecurity,98209.51687788912,yes,decline
product manager,finance,medium,singapore,high,high,javascript,101001.90114055388,yes,growth
sales manager,telecommunications,small,dubai,high,low,ux/ui design,82799.35770690278,no,growth
software engineer,manufacturing,medium,singapore,high,medium,machine learning,78401.25928174148,no,decline
ai researcher,manufacturing,large,tokyo,low,high,project management,73394.89621925619,no,stable
product manager,finance,large,san francisco,medium,high,ux/ui design,97645.09878289838,yes,stable
software engineer,entertainment,small,dubai,low,low,ux/ui design,73920.45852718527,yes,growth
sales manager,retail,medium,sydney,medium,low,javascript,134822.69138041462,yes,decline
data scientist,manufacturing,small,dubai,medium,high,javascript,81794.37128058006,yes,growth
ux designer,retail,small,tokyo,high,medium,cybersecurity,41495.71444254798,no,decline
product manager,manufacturing,medium,paris,medium,medium,data analysis,89396.5666674173,yes,decline
operations manager,transportation,medium,san francisco,low,low,ux/ui design,88539.33040362394,yes,stable
data scientist,entertainment,medium,sydney,low,low,sales,112234.37135048377,yes,stable
ux designer,transportation,large,tokyo,medium,high,ux/ui design,95762.52473455408,no,decline
hr manager,manufacturing,small,tokyo,high,low,cybersecurity,73323.29633120395,yes,growth
cybersecurity analyst,telecommunications,small,new york,high,high,marketing,84272.16253006447,yes,stable
marketing specialist,telecommunications,large,san francisco,low,medium,python,96548.39543301976,yes,growth
operations manager,transportation,medium,dubai,high,medium,project management,46705.714993791786,yes,stable
hr manager,telecommunications,large,london,medium,high,data analysis,116772.434687809,yes,stable
sales manager,manufacturing,large,paris,medium,low,machine learning,73376.6022839067,no,growth
hr manager,finance,large,london,low,medium,machine learning,118340.87641895234,yes,stable
cybersecurity analyst,transportation,small,dubai,medium,low,machine learning,97849.30282253175,yes,stable
sales manager,healthcare,large,dubai,low,medium,javascript,102591.88272787948,yes,growth
operations manager,entertainment,small,san francisco,medium,high,machine learning,112988.46872002544,yes,stable
cybersecurity analyst,telecommunications,small,dubai,low,high,project management,101462.64105384996,yes,stable
software engineer,telecommunications,small,new york,high,high,python,103457.72432634902,yes,stable
marketing specialist,technology,medium,sydney,medium,medium,machine learning,86711.67119077238,yes,growth
operations manager,education,small,dubai,medium,low,ux/ui design,97443.3736294419,yes,decline
software engineer,transportation,small,london,low,low,ux/ui design,78250.04370056515,yes,growth
ux designer,energy,medium,dubai,low,low,javascript,83131.77800824065,yes,decline
operations manager,telecommunications,small,new york,medium,medium,project management,129293.90095937817,no,stable
ux designer,entertainment,large,singapore,low,medium,python,73836.12829899156,no,decline
sales manager,healthcare,large,singapore,medium,medium,data analysis,93086.3425327256,no,growth
software engineer,telecommunications,small,tokyo,high,medium,cybersecurity,92269.38073430952,no,growth
marketing specialist,healthcare,medium,paris,low,medium,python,83784.91056438402,yes,stable
cybersecurity analyst,manufacturing,large,berlin,medium,low,cybersecurity,100288.01873140877,no,decline
ai researcher,manufacturing,medium,sydney,high,medium,marketing,101794.44185482766,no,stable
hr manager,education,medium,toronto,high,medium,cybersecurity,71483.61633704841,yes,stable
data scientist,finance,large,tokyo,medium,low,sales,92027.13423093104,no,growth
marketing specialist,energy,medium,paris,low,medium,ux/ui design,68352.65322455287,no,decline
software engineer,technology,large,singapore,medium,low,project management,105770.97236634602,yes,decline
ai researcher,education,medium,london,high,low,communication,93529.74620725252,yes,decline
marketing specialist,retail,large,toronto,medium,high,javascript,91646.59773434176,yes,decline
software engineer,technology,small,paris,low,high,sales,103180.62697744806,no,stable
product manager,transportation,large,paris,high,high,cybersecurity,84489.79419063198,no,stable
product manager,entertainment,large,tokyo,medium,high,machine learning,108280.43918436408,yes,growth
ux designer,retail,large,toronto,low,medium,project management,71031.10254487729,yes,stable
marketing specialist,retail,large,san francisco,high,high,sales,118237.53037789057,no,stable
product manager,education,medium,berlin,low,low,javascript,78981.77634890293,yes,growth
software engineer,finance,small,san francisco,high,medium,ux/ui design,56076.41864608825,no,growth
ux designer,education,large,toronto,medium,high,project management,83429.30183074536,yes,growth
software engineer,transportation,medium,san francisco,low,low,javascript,81160.63605491581,yes,stable
ux designer,telecommunications,small,new york,high,medium,marketing,83278.52027699928,no,stable
marketing specialist,telecommunications,small,singapore,low,medium,marketing,94632.96030967963,yes,growth
ai researcher,finance,small,new york,low,high,javascript,111956.84721776543,yes,growth
cybersecurity analyst,transportation,small,dubai,medium,medium,sales,86165.88172205727,yes,growth
operations manager,finance,large,san francisco,low,low,project management,76167.64860362199,no,stable
ai researcher,healthcare,large,dubai,high,medium,sales,67469.06375432406,yes,stable
sales manager,telecommunications,medium,london,high,low,data analysis,80636.34417381912,yes,decline
software engineer,retail,medium,sydney,high,medium,cybersecurity,52243.50321499295,yes,stable
sales manager,energy,medium,london,high,high,data analysis,75497.33812967277,yes,stable
ai researcher,entertainment,small,toronto,medium,low,marketing,114881.07791724372,yes,stable
ux designer,transportation,small,paris,low,medium,ux/ui design,73532.81590843154,yes,growth
operations manager,technology,large,singapore,medium,medium,python,102574.31721600612,no,stable
operations manager,finance,small,san francisco,low,medium,cybersecurity,65470.358203830205,no,growth
data scientist,entertainment,small,tokyo,low,low,marketing,125421.91798621108,yes,decline
operations manager,technology,small,sydney,low,low,sales,126752.1346612942,no,decline
cybersecurity analyst,entertainment,medium,berlin,medium,low,sales,101820.43113119752,no,growth
operations manager,energy,medium,berlin,low,high,sales,129825.05203287044,yes,growth
ai researcher,technology,large,berlin,medium,high,ux/ui design,97115.85949855324,no,growth
data scientist,education,small,san francisco,high,low,data analysis,105370.34228299111,no,stable
ai researcher,manufacturing,small,berlin,high,medium,python,115238.6775346307,no,decline
ai researcher,education,large,new york,low,high,sales,93594.369061969,no,growth
hr manager,telecommunications,small,sydney,medium,low,communication,58952.450768298775,no,stable
data scientist,manufacturing,small,new york,high,medium,cybersecurity,105779.26710468795,no,decline
ai researcher,education,medium,paris,medium,high,project management,80562.80811133073,no,stable
hr manager,manufacturing,large,sydney,medium,medium,communication,82049.4035808908,no,decline
hr manager,manufacturing,large,new york,low,medium,python,95957.8983295738,yes,stable
data scientist,retail,large,sydney,high,medium,ux/ui design,101325.6175943474,yes,decline
sales manager,finance,large,paris,low,medium,python,93002.69268012435,no,decline
ux designer,finance,medium,dubai,low,high,project management,102714.59072314618,no,stable
cybersecurity analyst,retail,medium,san francisco,high,high,cybersecurity,75862.85731879607,yes,growth
ux designer,entertainment,small,san francisco,high,high,project management,89145.92410553433,no,decline
operations manager,healthcare,small,berlin,medium,low,javascript,106981.70900901742,no,growth
cybersecurity analyst,entertainment,small,london,high,high,cybersecurity,125455.82352873433,yes,stable
operations manager,technology,small,berlin,medium,medium,python,132528.71177946418,yes,growth
ai researcher,technology,medium,toronto,medium,high,sales,98659.53365455465,yes,growth
software engineer,manufacturing,large,new york,medium,medium,python,106800.19653491216,no,growth
data scientist,education,medium,sydney,high,low,python,129631.5832963038,no,growth
cybersecurity analyst,education,small,london,low,medium,cybersecurity,76583.27926533011,yes,growth
cybersecurity analyst,finance,medium,paris,medium,medium,javascript,102593.99705425168,yes,decline
ai researcher,transportation,large,toronto,low,medium,python,105366.85898972292,no,decline
